Subject,LRT,RRT,RTMax,Lacc,Racc,Bacc,PrevAcc,Block,SubTrial,Lstim,Rstim,Stim1,Stim2,S-Chord,CResp1,CResp2,Resp1,Resp2,R-Chord,RewardType,AfterRew,Rmapping,Trial 1,BadTime,Repeat,Async,ChordType,Useable,RewMag
24,1531,1537,1537,1,1,1,0,3,46,Face8.jpg,Face3.jpg,8,3,83,e,p,3,8,38,R,1,2,0,0,0,1,SI,0,80
24,1330,1304,1330,1,1,1,1,3,47,Face6.jpg,Face2.jpg,6,2,62,q,u,1,5,15,R,1,2,0,0,0,1,SC,1,190
24,1321,1279,1321,1,1,1,1,3,48,Face5.jpg,Face2.jpg,5,2,52,w,u,2,5,25,U,1,2,0,0,0,1,SI,1,0
24,1120,1094,1120,1,1,1,1,3,49,Face6.jpg,Face2.jpg,6,2,62,q,u,1,5,15,R,0,2,0,0,0,1,SC,1,110
24,1399,1357,1399,1,1,1,1,3,50,Face5.jpg,Face2.jpg,5,2,52,w,u,2,5,25,U,1,2,0,0,0,1,SI,1,0
24,878,836,878,1,1,1,1,3,51,Face6.jpg,Face2.jpg,6,2,62,q,u,1,5,15,R,0,2,0,0,0,1,SC,1,140
24,1301,1291,1301,0,1,0,1,3,52,Face8.jpg,Face3.jpg,8,3,83,e,p,3,8,38,R,1,2,0,0,0,1,SI,0,150
24,1541,1528,1541,1,1,1,0,3,53,Face6.jpg,Face2.jpg,6,2,62,q,u,1,5,15,R,1,2,0,0,0,1,SC,0,80
24,1224,1218,1224,1,1,1,1,3,54,Face8.jpg,Face4.jpg,8,4,84,e,o,3,7,37,U,1,2,0,0,0,1,SC,1,0
24,1631,1606,1631,1,1,1,1,3,55,Face5.jpg,Face2.jpg,5,2,52,w,u,2,5,25,U,0,2,0,0,0,1,SI,1,0
24,1478,1471,1478,1,1,1,1,3,56,Face7.jpg,Face4.jpg,7,4,74,r,o,4,7,47,R,0,2,0,0,0,1,SI,1,150
24,1564,1538,1564,1,1,1,1,4,1,Face5.jpg,Face2.jpg,5,2,52,w,u,2,5,25,U,1,2,1,0,0,1,SI,0,0
24,2006,1993,2006,1,1,1,1,4,2,Face6.jpg,Face2.jpg,6,2,62,q,u,1,5,15,R,0,2,0,1,0,1,SC,0,70
24,1178,1152,1178,1,0,0,1,4,3,Face5.jpg,Face1.jpg,5,1,51,w,i,2,6,26,R,1,2,0,0,0,1,SC,0,100
24,1590,1584,1590,1,1,1,0,4,4,Face7.jpg,Face4.jpg,7,4,74,r,o,4,7,47,R,1,2,0,0,0,1,SI,0,160
24,2078,40,2078,1,0,0,1,4,5,Face8.jpg,Face3.jpg,8,3,83,e,p,3,8,38,R,1,2,0,1,0,0,SI,0,130
24,1403,1395,1403,1,1,1,0,4,6,Face5.jpg,Face1.jpg,5,1,51,w,i,2,6,26,R,1,2,0,0,0,1,SC,0,170
24,1410,1384,1410,1,1,1,1,4,7,Face7.jpg,Face3.jpg,7,3,73,r,p,4,8,48,U,1,2,0,0,0,1,SC,1,0
24,1161,1151,1161,1,1,1,1,4,8,Face8.jpg,Face3.jpg,8,3,83,e,p,3,8,38,R,0,2,0,0,0,1,SI,1,180
24,1520,1494,1520,1,1,1,1,4,9,Face5.jpg,Face2.jpg,5,2,52,w,u,2,5,25,U,1,2,0,0,0,1,SI,1,0
24,1414,1389,1414,1,1,1,1,4,10,Face8.jpg,Face4.jpg,8,4,84,e,o,3,7,37,U,0,2,0,0,0,1,SC,1,0
24,1118,1108,1118,1,1,1,1,4,11,Face8.jpg,Face3.jpg,8,3,83,e,p,3,8,38,R,0,2,0,0,0,1,SI,1,140
24,772,746,772,1,1,1,1,4,12,Face8.jpg,Face4.jpg,8,4,84,e,o,3,7,37,U,1,2,0,0,0,1,SC,1,0
24,1467,1441,1467,1,1,1,1,4,13,Face5.jpg,Face2.jpg,5,2,52,w,u,2,5,25,U,0,2,0,0,0,1,SI,1,0
24,1026,984,1026,1,1,1,1,4,14,Face5.jpg,Face1.jpg,5,1,51,w,i,2,6,26,R,0,2,0,0,0,1,SC,1,50
24,1273,1247,1273,0,1,0,1,4,15,Face7.jpg,Face4.jpg,7,4,74,r,o,4,7,47,R,1,2,0,0,0,1,SI,0,90
24,1253,1243,1253,1,1,1,0,4,16,Face8.jpg,Face4.jpg,8,4,84,e,o,3,7,37,U,1,2,0,0,0,1,SC,0,0
24,908,901,908,1,1,1,1,4,17,Face7.jpg,Face3.jpg,7,3,73,r,p,4,8,48,U,0,2,0,0,0,1,SC,1,0
24,1587,1577,1587,1,1,1,1,4,18,Face7.jpg,Face4.jpg,7,4,74,r,o,4,7,47,R,0,2,0,0,0,1,SI,1,140
24,1130,1104,1130,1,1,1,1,4,19,Face7.jpg,Face3.jpg,7,3,73,r,p,4,8,48,U,1,2,0,0,0,1,SC,1,0
24,1185,1178,1185,1,1,1,1,4,20,Face8.jpg,Face3.jpg,8,3,83,e,p,3,8,38,R,0,2,0,0,0,1,SI,1,190
24,1128,1086,1128,1,1,1,1,4,21,Face5.jpg,Face1.jpg,5,1,51,w,i,2,6,26,R,1,2,0,0,0,1,SC,1,140
24,1071,1064,1071,1,1,1,1,4,22,Face7.jpg,Face3.jpg,7,3,73,r,p,4,8,48,U,1,2,0,0,0,1,SC,1,0
24,1222,1212,1222,1,1,1,1,4,23,Face6.jpg,Face2.jpg,6,2,62,q,u,1,5,15,R,0,2,0,0,0,1,SC,1,70
24,957,950,957,1,1,1,1,4,24,Face7.jpg,Face3.jpg,7,3,73,r,p,4,8,48,U,1,2,0,0,0,1,SC,1,0
24,1140,1114,1140,1,1,1,1,4,25,Face6.jpg,Face1.jpg,6,1,61,q,i,1,6,16,U,0,2,0,0,0,1,SI,1,0
24,1211,1185,1211,1,1,1,1,4,26,Face8.jpg,Face4.jpg,8,4,84,e,o,3,7,37,U,0,2,0,0,0,1,SC,1,0
24,1266,1240,1266,1,1,1,1,4,27,Face5.jpg,Face1.jpg,5,1,51,w,i,2,6,26,R,0,2,0,0,0,1,SC,1,70
24,1385,1378,1385,1,1,1,1,4,28,Face7.jpg,Face4.jpg,7,4,74,r,o,4,7,47,R,1,2,0,0,0,1,SI,1,180
24,1104,1078,1104,1,1,1,1,4,29,Face6.jpg,Face1.jpg,6,1,61,q,i,1,6,16,U,1,2,0,0,0,1,SI,1,0
24,1799,1773,1799,1,1,1,1,4,30,Face7.jpg,Face4.jpg,7,4,74,r,o,4,7,47,R,0,2,0,0,0,1,SI,1,100
24,1086,1079,1086,1,1,1,1,4,31,Face8.jpg,Face4.jpg,8,4,84,e,o,3,7,37,U,1,2,0,0,0,1,SC,1,0
24,1317,1275,1317,1,1,1,1,4,32,Face5.jpg,Face2.jpg,5,2,52,w,u,2,5,25,U,0,2,0,0,0,1,SI,1,0
24,1820,1810,1820,1,1,1,1,4,33,Face8.jpg,Face3.jpg,8,3,83,e,p,3,8,38,R,0,2,0,0,0,1,SI,1,110
24,1075,1065,1075,1,1,1,1,4,34,Face7.jpg,Face4.jpg,7,4,74,r,o,4,7,47,R,1,2,0,0,0,1,SI,1,190
24,1258,1216,1258,1,1,1,1,4,35,Face5.jpg,Face2.jpg,5,2,52,w,u,2,5,25,U,1,2,0,0,0,1,SI,1,0
24,1152,1127,1152,1,1,1,1,4,36,Face8.jpg,Face4.jpg,8,4,84,e,o,3,7,37,U,0,2,0,0,0,1,SC,1,0
24,1270,1246,1270,1,1,1,1,4,37,Face6.jpg,Face1.jpg,6,1,61,q,i,1,6,16,U,0,2,0,0,0,1,SI,1,0
24,1502,1494,1502,1,1,1,1,4,38,Face7.jpg,Face4.jpg,7,4,74,r,o,4,7,47,R,0,2,0,0,0,1,SI,1,110
24,1332,1306,1332,1,1,1,1,5,1,Face6.jpg,Face2.jpg,6,2,62,q,u,1,5,15,R,1,2,1,0,0,1,SC,0,110
24,1003,996,1003,1,1,1,1,5,2,Face7.jpg,Face3.jpg,7,3,73,r,p,4,8,48,U,1,2,0,0,0,1,SC,1,0
24,1042,1016,1042,0,1,0,1,5,3,Face5.jpg,Face2.jpg,5,2,52,w,u,2,5,25,U,0,2,0,0,0,1,SI,0,0
24,2047,40,2047,1,0,0,0,5,4,Face7.jpg,Face3.jpg,7,3,73,r,p,4,8,48,U,0,2,0,1,0,0,SC,0,0
