Subject,Sex,Group,Rmapping,CB,RTL,RTR,RTMax,Asynchrony,AccL,AccR,Bacc,Block,Trial, F1,Face2,R1,R2,Chord,CResp1,CResp2,RewardType,ChordType,Rewarded,Code,PrevReward,AfterReward,Practiced,PrevAcc,GoodFast,Repeats,Useable,Qchord,QRecall,QRespQ,Composite Awareness
1,2,1,1,1,1170,1157,1170,13,1,1,1,3,12,Face1.jpg,Face6.jpg,1,6,16,q,i,U,SI,0,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1062,1036,1062,26,1,1,1,3,13,Face1.jpg,Face5.jpg,1,5,15,q,u,R,SC,1,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1263,1251,1263,12,1,1,1,3,14,Face1.jpg,Face6.jpg,1,6,16,q,i,U,SI,0,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1444,1450,1450,6,1,1,1,3,15,Face3.jpg,Face5.jpg,3,5,35,e,u,U,SI,0,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1227,1201,1227,26,1,1,1,3,16,Face1.jpg,Face6.jpg,1,6,16,q,i,U,SI,0,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1218,1224,1224,6,1,1,1,3,17,Face3.jpg,Face5.jpg,3,5,35,e,u,U,SI,0,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1131,1119,1131,12,1,1,1,3,18,Face1.jpg,Face6.jpg,1,6,16,q,i,U,SI,0,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1264,1238,1264,26,1,1,1,3,19,Face1.jpg,Face5.jpg,1,5,15,q,u,R,SC,1,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,1399,1392,1399,7,1,1,1,3,20,Face2.jpg,Face8.jpg,2,8,28,w,p,R,SI,1,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1134,1156,1156,22,1,1,1,3,21,Face3.jpg,Face6.jpg,3,6,36,e,i,R,M,1,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1176,1163,1176,13,1,1,1,3,22,Face1.jpg,Face6.jpg,1,6,16,q,i,U,SI,0,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1036,1026,1036,10,1,1,1,3,23,Face2.jpg,Face8.jpg,2,8,28,w,p,R,SI,1,11,0,0,1,1,1,0,1,,,0,1
1,2,1,1,1,964,952,964,12,1,1,1,3,24,Face1.jpg,Face6.jpg,1,6,16,q,i,U,SI,0,11,1,1,1,1,1,0,1,,,0,1
1,2,1,1,1,1017,1055,1055,38,1,1,1,3,25,Face2.jpg,Face8.jpg,2,8,28,w,p,R,SI,1,11,0,0,1,1,1,0,1,,,0,1
